набор,баз,сайтов,свежих,дней,зоны,вышли в поиск,поисковых кликов,регистраций,ФД,кликов на регистрацию,ожидалось регистраций,вердикт
nabory-601-610,10,2060,2060,2,team:1236/lol:824,117,1510,1,0,1510,0.4,мало данных
content-2026-09-14-7str-oform-1,9,1854,1854,2,lol:1030/team:824,149,1273,1,0,1273,1.8,мало данных
NEW50_12pages_nodate_01.09,8,1648,0,2,casino:1648,464,18324,1,1,18324,3.2,хуже ожидаемого в 3.2 раза
NEW21_7pages_nodate_styled_img,6,1236,0,2,team:1030/lol:206,155,3526,1,1,3526,0.6,мало данных
NEW20_12pages_nodate_оформлено,6,1236,0,2,lol:618/team:618,249,2665,1,0,2665,1.3,мало данных
NEW20_4_7pages_withdate,5,1030,0,2,lol:618/team:412,149,1741,1,1,1741,1.1,мало данных
NEW20_7pages_withdate_оформлено,5,1030,0,2,team:824/lol:206,113,950,1,0,950,1.1,мало данных
NEW20_3_7pages_withdate_styled_img,4,824,0,2,team:824,184,4439,1,0,4439,0.6,мало данных
nabory470472_styled_img,3,618,0,2,team:618,120,1338,1,0,1338,0.5,мало данных
nabory461463_styled_img,3,594,0,2,casino:594,166,5638,1,0,5638,0.9,мало данных
content-2026-09-14-7str-oform-8,25,5150,5150,3,lol:3502/team:1648,473,4437,0,0,,3.2,ПУСТОЙ: ноль при ожидаемых 3.2
content-2026-09-14b-7str-oform-1,22,4364,4364,2,lol:2510/team:1854,198,2272,0,0,,0.9,мало данных
nabory-565-580,16,3295,3295,2,lol:1648/team:1647,420,6278,0,0,,1.4,мало данных
content-2026-09-17b-7str-oform,19,2850,2850,1,lol:2850,48,70,0,0,,0.6,мало данных
Generator_370382_styled_img,13,2678,0,2,team:2678,120,721,0,0,,1.3,мало данных
nabory400410_styled_img,11,2266,0,2,lol:1442/team:824,213,2913,0,0,,1.5,мало данных
nabory294303,10,2060,0,4,lol:1442/team:618,254,3575,0,0,,3.1,ПУСТОЙ: ноль при ожидаемых 3.1
nabory284293,10,2060,0,4,lol:2060,152,1755,0,0,,2.3,мало данных
nabory-500-509_styled_img,10,2060,2060,2,team:1854/lol:206,34,195,0,0,,1.0,мало данных
nabory-515-524_styled_img,10,2060,2060,3,team:2060,161,3480,0,0,,1.4,мало данных
nabory-525-534_styled_img,10,2060,2060,2,lol:1442/team:618,126,531,0,0,,1.9,мало данных
nabory-591-600,10,2060,2060,2,team:1442/lol:618,145,3508,0,0,,0.4,мало данных
nabory-581-590,10,2004,2004,3,team:1648/lol:356,156,1480,0,0,,0.4,мало данных
nabory-545-554_styled_img,10,1948,1948,2,lol:1948,315,6979,0,0,,0.8,мало данных
nabory-611-620,10,1778,1778,2,lol:918/team:860,76,273,0,0,,0.4,мало данных
struktura8x7,8,1648,0,2,team:1648,300,8904,0,0,,1.1,мало данных
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,7,1441,0,2,team:1441,229,5012,0,0,,2.7,мало данных
NEW20_7pages_nodate_styled_img,6,1236,0,2,team:824/casino:412,157,1415,0,0,,0.9,мало данных
Generator_385390_styled_img,6,1236,0,2,team:1030/lol:206,68,724,0,0,,0.6,мало данных
NEW21_12pages_nodate_styled_img,6,1236,0,2,casino:1236,232,7698,0,0,,0.6,мало данных
content-2026-09-16-12str,6,1236,1236,2,team:824/lol:412,114,1714,0,0,,0.2,мало данных
Generator_354359_styled_img,6,1235,0,2,team:1235,83,1234,0,0,,0.9,мало данных
NEW20_3_7pages_nodate_styled_img,6,1235,0,2,team:1030/lol:205,269,4250,0,0,,0.8,мало данных
NEW21_7pages_withdate_styled_img,5,1030,0,2,casino:1030,109,2723,0,0,,0.5,мало данных
Generator_392396_styled_img,5,1030,0,2,team:1030,128,6326,0,0,,0.7,мало данных
