баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  5191.lol           lol          206    8.7%      487        56     1
  casino4244.buzz    buzz         206    8.3%      175        56     1
  3855.lol           lol          206    7.3%      452        56     0
  l6j.lol            lol          206    6.8%       94        56     0
  casino5450.buzz    buzz         206    6.8%      241        56     0
  5730.lol           lol          206    6.3%       58        56     0
  ufdb.buzz          buzz         206    6.3%       78        56     0
  casinofnl.buzz     buzz         206    6.3%      282        56     0
  tqwy.buzz          buzz         206    6.3%      647        56     0
  26casino.lol       lol          206    4.4%       23        56     0
  67casino.lol       lol          206    4.4%      119        56     0
  arhd.buzz          buzz         206    3.4%       47        56     0
  casinoa9.buzz      buzz         206    3.4%       17        56     0
  26casino.buzz      buzz         206    3.4%       50        56     0
  5126.buzz          buzz         206    2.9%       26        56     0
  casinoz2.buzz      buzz         206    2.9%       39        56     0
  d3x2.lol           lol          206    2.9%       27        56     0
  casinoqu.buzz      buzz         206    2.9%       21        56     0
  135casino.buzz     buzz         206    2.4%      163        56     0
  0811.lol           lol          206    2.4%       16        56     0
  d3x2.buzz          buzz         206    1.9%        9        56     0
  g7u.buzz           buzz         206    1.9%       23        56     0
  vfra.lol           lol          206    1.5%        7        56     0
  xxlx.buzz          buzz         206    1.5%       54        56     0
  0658.lol           lol          206    1.5%       11        56     0
  d1n1.buzz          buzz         206    1.0%      329        56     0
  g7u.lol            lol          206    1.0%       35        56     0
  uakcasino.buzz     buzz         206    1.0%       30        56     0
  8568.lol           lol          206    1.0%        5        56     0
  1322.lol           lol          206    0.5%        1        56     0
  0313.lol           lol          206    0.5%        5        56     0
  9281.lol           lol          206    0.5%      436        56     0
  kpscasino.buzz     buzz         206    0.0%        2        56     0
  vscasino.buzz      buzz         206    0.0%        3        56     0
  e8k.buzz           buzz         206    0.0%        5        56     0

ПАК НЕИЗВЕСТЕН · 2026-08-19 · баз 46 · сайтов 8691 · выход3 21.7% · рег 9
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  bdwn.team          team         186   60.2%    18946        36     2
  4392.team          team         186   54.3%     3885        36     1
  gkrd.team          team         186   54.3%     4852        36     1
  1085.team          team         186   51.6%     7328        36     0
  rwdk.team          team         184   46.7%     8498        34     0
  mpdg.team          team         186   45.2%     3215        36     1
  k2n.team           team         185   40.5%     3833        35     2
  7592.team          team         184   39.1%    14559        34     0
  pqcl.team          team         184   39.1%     1933        34     0
  gjpz.team          team         185   33.5%     1180        35     0
  2153.team          team         185   32.4%     3119        35     0
  hlwm.team          team         185   31.4%      775        35     0
