# Группы запуска и конверсии, 21.08-07.09.2026. Доля считается от всех доменов группы.
день;группа;страниц;даты;контент;доменов;с регистрациями;доля %;регистраций;депозитов;ключей в Т10;окно;зоны;домены с деньгами
05.09;tesemochnaya1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
05.09;shponnayarezka1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
05.09;Generator_392396_styled_img;;;генератор;5;0;0.0;0;0;;открыто;.team=5;
06.09;drobilnyydvor1_1;;;не указано;1;0;0.0;0;0;;открыто;.lol=1;
06.09;bortnichiydvor1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
06.09;NEW20_3_7pages_withdate_styled_img;7;с датами;готовый пак;4;0;0.0;0;0;;открыто;.team=4;
06.09;NEW20_3_12pages_nodate_styled_img;12;без дат;готовый пак;5;0;0.0;0;0;;открыто;.casino=4 .lol=1;
06.09;NEW20_3_12pages_withdate_styled_img;12;с датами;готовый пак;5;0;0.0;0;0;;открыто;.lol=5;
06.09;nabory400410_styled_img, полный);;;наборы;11;0;0.0;0;0;;открыто;.lol=7 .team=4;
06.09;struktura8x7;;;не указано;8;0;0.0;0;0;;открыто;.team=8;
06.09;solodovnya1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
06.09;NEW20_3_7pages_nodate_styled_img;7;без дат;готовый пак;6;0;0.0;0;0;;открыто;.team=5 .lol=1;
06.09;troykaC;;;не указано;3;0;0.0;0;0;;открыто;.team=3;
06.09;nabory421425_styled_img;;;наборы;5;0;0.0;0;0;;открыто;.lol=3 .team=2;
07.09;Выдача_06.09_7стр;7;;выдача;2;0;0.0;0;0;;открыто;.team=1 .lol=1;
07.09;Выдача_06.09_12стр;12;;выдача;8;0;0.0;0;0;;открыто;.lol=5 .team=3;
07.09;nabory431435_styled_img;;;наборы;5;0;0.0;0;0;;открыто;.team=3 .lol=2;
07.09;NEW20_4_7pages_nodate;7;без дат;готовый пак;5;0;0.0;0;0;;открыто;.team=4 .lol=1;
07.09;NEW20_4_7pages_withdate;7;с датами;готовый пак;5;0;0.0;0;0;;открыто;.lol=3 .team=2;
07.09;NEW20_4_12pages_nodate;12;без дат;готовый пак;6;0;0.0;0;0;;открыто;.team=4 .lol=2;
07.09;NEW20_4_12pages_withdate;12;с датами;готовый пак;3;0;0.0;0;0;;открыто;.lol=3;
07.09;nabory436440_styled_img, все .team;;;наборы;5;0;0.0;0;0;;открыто;.team=5;
19.08;Generator_11page_19.08 (группа 3);11;;генератор;5;0;0.0;0;0;60.0;усечено;.team=5;
19.08;generator v4 (группа 2);;;генератор;10;0;0.0;0;0;0.1;усечено;.team=6 .buzz=2 .icu=1 .top=1;
19.08;Generator_11page_2_19.08 (группа 4);11;;генератор;5;0;0.0;0;0;7.8;усечено;.team=4 .cyou=1;
19.08;Generator_v4_2_19.08 (группа 6);;;генератор;5;0;0.0;0;0;1.8;усечено;.team=4 .buzz=1;
20.08;7pages_nodate;7;без дат;готовый пак;4;0;0.0;0;0;0.5;усечено;.rest=1 .xyz=1 .cfd=1 .team=1;
20.08;doregn.net 7 page (имена);7;;не указано;5;0;0.0;0;0;1.2;усечено;.team=5;
21.08;КОНТРОЛЬ NEW50_5_7pages_nodate_21.08;7;без дат;готовый пак;7;0;0.0;0;0;4.7;закрыто;.team=7;
26.08;Generator_A2_staryy_stil (nabor-170…174);;;генератор;5;0;0.0;0;0;1.6;закрыто;.team=5;
26.08;Generator_C2_novyy_img (nabor-180…184);;;генератор;5;0;0.0;0;0;3.2;закрыто;.team=5;
