datetime,event,campaign,name,clickid,country,source,referer,user_ip,postback_ip,linked
"2026-09-12 23:15:13",reg,dorgen_engine,Dorgen_engine,60adf2069d95dab2,NL,pinco.5365.team,https://yandex.ru/,89.127.206.10,209.38.42.185,yes
"2026-09-12 22:16:47",reg,leebet,Leebet_engine,626c4e1c6a10c8b6,NL,leebet.qxtl.casino,https://yandex.ru/,138.226.243.26,209.38.42.185,yes
"2026-09-12 22:15:11",reg,dorgen_engine,Dorgen_engine,0e93476a6042cd81,NL,spinwin.4994.lol,https://yandex.ru/,188.208.197.239,209.38.42.185,yes
"2026-09-12 22:15:11",reg,dorgen_engine,Dorgen_engine,ae7c1ac35e24161d,DE,martin.7326.team,https://yandex.ru/,31.25.11.133,209.38.42.185,yes
"2026-09-12 21:15:10",reg,dorgen_engine,Dorgen_engine,6b0558ed46bf3bb6,ES,trix.1109casino.casino,https://yandex.ru/,45.154.206.173,209.38.42.185,yes
"2026-09-12 20:15:10",reg,dorgen_engine,Dorgen_engine,6876c0ec35db7619,SE,selector.5406.lol,https://yandex.ru/,141.227.160.232,209.38.42.185,yes
"2026-09-12 19:15:08",reg,dorgen_engine,Dorgen_engine,71cf2caf0221f0eb,EE,pinco.casinoah.team,,185.155.222.96,209.38.42.185,yes
"2026-09-12 18:17:03",dep,leebet,Leebet_engine,ff72b23135032a03,RU,leebet.qlmf.lol,https://yandex.ru/,91.210.170.114,209.38.42.185,yes
"2026-09-12 18:15:10",reg,dorgen_engine,Dorgen_engine,ebbebe53192375ed,BY,f1.rzbcasino.team,https://yandex.by/,151.249.172.184,209.38.42.185,yes
"2026-09-12 17:15:10",reg,dorgen_engine,Dorgen_engine,88a7c17318466535,NL,shuffle.6655.team,https://yandex.ru/,107.151.194.122,209.38.42.185,yes
"2026-09-12 16:15:10",reg,dorgen_engine,Dorgen_engine,212db404513a522d,GB,iris.1209s.casino,https://yandex.ru/,194.46.59.66,209.38.42.185,yes
"2026-09-12 16:15:10",reg,dorgen_engine,Dorgen_engine,25bee9dab19403e1,TH,martin.2334.team,https://yandex.ru/,27.55.77.17,209.38.42.185,yes
"2026-09-12 14:16:47",reg,leebet,Leebet_engine,ff72b23135032a03,RU,leebet.qlmf.lol,https://yandex.ru/,91.210.170.114,209.38.42.185,yes
"2026-09-12 14:15:14",reg,dorgen_engine,Dorgen_engine,f7f9b59a31146345,DE,boost.2129.lol,https://yandex.ru/,95.179.254.67,209.38.42.185,yes
"2026-09-12 13:15:10",reg,dorgen_engine,Dorgen_engine,551a441f148f628c,RU,mellstroy.xqzs.team,,185.15.38.80,209.38.42.185,yes
"2026-09-12 11:22:01",dep,dorgen_engine,Dorgen_engine,bcc891141990880e,NL,stake.1109casino.casino,https://yandex.ru/,151.241.141.32,209.38.42.185,yes
"2026-09-12 11:15:10",reg,dorgen_engine,Dorgen_engine,174f0f5291e15068,RU,pinco.5365.team,https://yandex.ru/,2a06:2840::123,209.38.42.185,yes
"2026-09-12 11:15:10",reg,gizbo_engine,Gizbo_engine,67708051bb2e8f17,AM,lelang.su,https://lelang.su/,217.113.25.17,209.38.42.185,yes
"2026-09-12 11:15:09",reg,dorgen_engine,Dorgen_engine,bcc891141990880e,NL,stake.1109casino.casino,https://yandex.ru/,151.241.141.32,209.38.42.185,yes
"2026-09-12 10:15:09",reg,dorgen_engine,Dorgen_engine,81541e16ced1f956,DE,pinco.c9a3.lol,https://yandex.ru/,159.195.82.169,209.38.42.185,yes
"2026-09-12 10:15:09",reg,dorgen_engine,Dorgen_engine,52b03a324b45df9c,DE,betera.9165.team,https://alice.yandex.ru/,185.191.118.58,209.38.42.185,yes
"2026-09-12 09:21:47",dep,dorgen_engine,Dorgen_engine,99f334662183c1df,RU,sol.ajjk.casino,https://yandex.ru/,2a03:d000:1404:c3:1:0:752a:901b,209.38.42.185,yes
"2026-09-12 09:15:08",reg,dorgen_engine,Dorgen_engine,99f334662183c1df,RU,sol.ajjk.casino,https://yandex.ru/,2a03:d000:1404:c3:1:0:752a:901b,209.38.42.185,yes
"2026-09-12 08:15:08",reg,dorgen_engine,Dorgen_engine,107ffd02ef719288,BY,marathon.1025.team,https://yandex.by/,178.120.7.2,209.38.42.185,yes
"2026-09-12 07:15:08",reg,dorgen_engine,Dorgen_engine,98f2a53e0532eee7,NL,martin.msvcasino.lol,https://yandex.ru/,2a03:6f02::1:80d9,209.38.42.185,yes
"2026-09-12 01:15:10",reg,dorgen_engine,Dorgen_engine,2eb78f75aea49318,NL,mellstroy.1109casino.casino,https://yandex.ru/,185.229.190.95,209.38.42.185,yes
"2026-09-12 00:15:14",reg,dorgen_engine,Dorgen_engine,71ec85d489880aa1,DE,pinco.xpba.lol,https://yandex.ru/,216.236.3.135,209.38.42.185,yes
"2026-09-11 23:22:38",dep,dorgen_engine,Dorgen_engine,a079f17ac340d4b5,NL,spinto.1009gg.casino,https://yandex.com.tr/,84.54.48.131,209.38.42.185,yes
"2026-09-11 23:15:11",reg,dorgen_engine,Dorgen_engine,a079f17ac340d4b5,NL,spinto.1009gg.casino,https://yandex.com.tr/,84.54.48.131,209.38.42.185,yes
"2026-09-11 22:15:14",reg,dorgen_engine,Dorgen_engine,f11fa4969b6d5dc0,SE,avocado.1109m.casino,https://yandex.ru/,2.26.13.3,209.38.42.185,yes
"2026-09-11 22:15:13",reg,r7_engine,R7_engine,fdcaaf6f3dd64b87,ES,yandex.com,https://yandex.com/images/search?cbir_id=10236460%2FdAh5KM48bJ_UVHEnV0SqsQ1630&rpt=imageview&tabInt=1&url=https%3A%2F%2Favatars.mds.yandex.net%2Fget-images-cbir%2F10236460%2FdAh5KM48bJ_UVHEnV0SqsQ1630%2Forig,2a0c:5a84:b40f:5c00:e855:1ad1:db97:b3fe,209.38.42.185,yes
"2026-09-11 22:15:11",reg,dorgen_engine,Dorgen_engine,9b8bfa87202f15d9,RU,bounty.7055.team,https://yandex.ru/,80.251.149.88,209.38.42.185,yes
"2026-09-11 20:16:47",reg,leebet,Leebet_engine,462978dfe0f65a20,UZ,leebet.9799.team,https://yandex.uz/,144.124.199.247,209.38.42.185,yes
